1  12.0
2  10.93
3  1.05
4  1.38
5  2.7
6  8.56
7  7.98
8  8.77
9  4.4
10  8.16
11  6.29
12  7.55
13  6.43
14  7.59
15  5.41
16  7.16
17  5.25
18  6.4
19  5.14
20  6.37
21  3.07
22  4.94
23  3.89
24  5.74
25  5.52
26  7.5
27  4.95
28  6.24
29  4.19
30  4.56
31  3.04
32  3.65
33  2.29
34  3.33
35  2.56
36  3.25
37  2.52
38  2.87
39  2.21
40  2.58
41  1.46
42  1.88
43  -99.0
44  1.75
45  0.91
46  1.57
47  0.94
48  1.77
49  0.8
50  2.04
51  1.0
52  2.19
53  1.51
54  2.24
55  1.07
56  2.18
57  1.1
58  1.58
59  0.72
60  1.42
61  -99.0
62  0.96
63  0.52
64  1.07
65  0.3
66  1.1
67  0.48
68  0.92
69  0.1
70  0.84
71  0.1
72  0.85
73  -0.17
74  0.85
75  0.23
76  1.4
77  1.38
78  1.64
79  0.92
80  1.13
81  0.9
82  1.75
83  0.65
84  -99.0
85  -99.0
86  -99.0
87  -99.0
88  -99.0
89  -99.0
90  0.02
91  -99.0
92  -0.52
